,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
70,2014-04-03 22:00:00,108.0,436.0,360.0,650.0,26.0,0.0
71,2014-04-03 23:00:00,42.0,231.0,151.0,352.0,17.0,0.0
72,2014-04-04 00:00:00,14.0,85.0,60.0,163.0,7.0,0.0
73,2014-04-04 01:00:00,12.0,52.0,30.0,87.0,3.0,0.0
74,2014-04-04 02:00:00,3.0,36.0,15.0,60.0,3.0,0.0
75,2014-04-04 03:00:00,7.0,41.0,34.0,70.0,2.0,0.0
76,2014-04-04 04:00:00,14.0,63.0,43.0,114.0,4.0,0.0
77,2014-04-04 05:00:00,21.0,90.0,72.0,193.0,5.0,0.0
78,2014-04-04 06:00:00,67.0,218.0,169.0,376.0,9.0,0.0
79,2014-04-04 07:00:00,88.0,294.0,238.0,558.0,24.0,0.0
80,2014-04-04 08:00:00,68.0,254.0,217.0,505.0,21.0,0.0
81,2014-04-04 09:00:00,61.0,177.0,168.0,349.0,14.0,0.0
82,2014-04-04 10:00:00,61.0,193.0,161.0,336.0,8.0,0.0
83,2014-04-04 11:00:00,58.0,236.0,143.0,370.0,12.0,0.0
84,2014-04-04 12:00:00,58.0,229.0,186.0,346.0,8.0,0.0
85,2014-04-04 13:00:00,79.0,297.0,215.0,388.0,15.0,0.0
86,2014-04-04 14:00:00,94.0,320.0,240.0,511.0,25.0,0.0
87,2014-04-04 15:00:00,121.0,389.0,318.0,647.0,29.0,0.0
88,2014-04-04 16:00:00,124.0,491.0,412.0,808.0,30.0,0.0
89,2014-04-04 17:00:00,161.0,624.0,452.0,999.0,44.0,0.0
90,2014-04-04 18:00:00,172.0,650.0,497.0,1090.0,40.0,0.0
91,2014-04-04 19:00:00,139.0,599.0,418.0,946.0,31.0,0.0
92,2014-04-04 20:00:00,92.0,401.0,285.0,675.0,36.0,0.0
93,2014-04-04 21:00:00,112.0,543.0,389.0,836.0,49.0,0.0
94,2014-04-04 22:00:00,110.0,506.0,360.0,845.0,38.0,0.0
95,2014-04-04 23:00:00,91.0,363.0,265.0,593.0,27.0,0.0
96,2014-04-05 00:00:00,45.0,205.0,126.0,330.0,17.0,0.0
97,2014-04-05 01:00:00,31.0,105.0,77.0,194.0,9.0,0.0
98,2014-04-05 02:00:00,17.0,59.0,34.0,102.0,3.0,0.0
99,2014-04-05 03:00:00,10.0,49.0,33.0,86.0,3.0,0.0
100,2014-04-05 04:00:00,7.0,44.0,15.0,86.0,1.0,0.0
101,2014-04-05 05:00:00,12.0,57.0,20.0,86.0,2.0,0.0
102,2014-04-05 06:00:00,12.0,61.0,37.0,92.0,4.0,0.0
103,2014-04-05 07:00:00,13.0,81.0,46.0,133.0,6.0,0.0
104,2014-04-05 08:00:00,21.0,93.0,68.0,149.0,9.0,0.0
105,2014-04-05 09:00:00,38.0,114.0,91.0,196.0,11.0,0.0
106,2014-04-05 10:00:00,45.0,130.0,105.0,243.0,7.0,0.0
107,2014-04-05 11:00:00,52.0,140.0,103.0,237.0,10.0,0.0
108,2014-04-05 12:00:00,46.0,185.0,136.0,280.0,10.0,0.0
109,2014-04-05 13:00:00,55.0,183.0,134.0,264.0,11.0,0.0
